Feature_ID,Correlacao,Status
333,-0.0907,Podado
334,-0.0126,Podado
335,-0.0126,Podado
336,-0.0179,Podado
337,-0.0126,Podado
338,-0.0126,Podado
339,-0.2406,Podado
340,-0.0126,Podado
341,-0.0126,Podado
342,-0.0179,Podado
343,-0.0126,Podado
344,-0.0126,Podado
345,-0.0206,Podado
346,-0.0253,Podado
347,-0.0357,Podado
348,-0.0126,Podado
349,-0.0126,Podado
350,-0.0537,Podado
351,-0.0438,Podado
352,-0.0179,Podado
353,-0.0179,Podado
354,-0.0400,Podado
355,-0.0126,Podado
356,-0.0126,Podado
357,-0.0379,Podado
358,-0.0310,Podado
359,-0.0126,Podado
360,-0.0126,Podado
361,-0.0179,Podado
362,-0.0607,Podado
363,-0.0253,Podado
364,-0.0126,Podado
365,-0.0126,Podado
366,-0.0126,Podado
367,-0.0126,Podado
368,-0.0126,Podado
369,-0.1566,Podado
370,-0.0126,Podado
371,-0.0126,Podado
372,-0.0126,Podado
373,-0.0253,Podado
374,-0.0126,Podado
375,-0.0283,Podado
376,-0.0126,Podado
377,-0.0179,Podado
378,-0.0126,Podado
379,-0.0219,Podado
380,-0.0716,Podado
381,-0.0126,Podado
382,-0.0126,Podado
383,-0.1624,Podado
384,-0.0179,Podado
385,-0.0126,Podado
386,-0.0126,Podado
387,-0.0456,Podado
388,-0.0126,Podado
389,-0.0219,Podado
390,-0.0253,Podado
391,-0.0126,Podado
392,-0.0126,Podado
393,-0.0126,Podado
394,-0.0179,Podado
395,-0.0179,Podado
396,-0.0219,Podado
397,-0.0126,Podado
398,-0.1264,Podado
399,-0.0253,Podado
400,-0.0126,Podado
401,-0.0126,Podado
402,-0.0310,Podado
403,-0.0126,Podado
404,-0.0126,Podado
405,-0.0790,Podado
406,-0.0126,Podado
407,-0.0179,Podado
408,-0.0126,Podado
409,-0.0253,Podado
410,-0.0126,Podado
411,-0.0126,Podado
412,-0.0566,Podado
413,-0.0471,Podado
414,-0.0179,Podado
415,-0.0126,Podado
416,-0.0506,Podado
417,-0.0126,Podado
418,-0.0126,Podado
419,-0.0219,Podado
420,-0.0705,Podado
421,-0.0419,Podado
422,-0.0760,Podado
423,-0.0126,Podado
424,-0.0357,Podado
425,-0.0179,Podado
426,-0.0126,Podado
427,-0.0219,Podado
428,-0.0126,Podado
429,-0.0179,Podado
430,-0.0179,Podado
431,-0.1324,Podado
432,-0.0126,Podado
433,-0.0126,Podado
434,-0.0219,Podado
435,-0.0126,Podado
436,-0.0126,Podado
437,-0.0179,Podado
438,-0.0126,Podado
439,-0.0283,Podado
440,-0.0179,Podado
441,-0.0126,Podado
442,-0.0126,Podado
443,-0.0126,Podado
444,-0.0179,Podado
445,-0.0126,Podado
446,-0.0126,Podado
447,-0.0506,Podado
448,-0.0310,Podado
449,-0.0506,Podado
450,-0.1032,Podado
451,-0.0693,Podado
452,-0.0179,Podado
453,-0.0126,Podado
454,-0.0126,Podado
455,-0.0334,Podado
456,-0.0126,Podado
457,-0.0869,Podado
458,-0.0126,Podado
459,-0.0253,Podado
460,-0.0126,Podado
461,-0.0126,Podado
462,-0.0400,Podado
463,-0.0126,Podado
464,-0.0126,Podado
465,-0.0126,Podado
466,-0.0126,Podado
467,-0.0126,Podado
468,-0.0126,Podado
469,-0.0126,Podado
470,-0.0551,Podado
471,-0.0126,Podado
472,-0.0126,Podado
473,-0.0687,Podado
474,-0.0126,Podado
475,-0.2432,Podado
476,-0.0219,Podado
477,-0.0627,Podado
478,-0.0179,Podado
479,-0.0126,Podado
480,-0.0379,Podado
481,-0.0126,Podado
482,-0.0219,Podado
483,-0.0126,Podado
484,-0.0219,Podado
485,-0.0126,Podado
486,-0.0126,Podado
487,-0.0126,Podado
488,-0.0283,Podado
489,-0.0400,Podado
490,-0.0179,Podado
491,-0.0566,Podado
492,-0.0521,Podado
493,-0.0126,Podado
494,-0.0521,Podado
495,-0.0126,Podado
496,-0.0126,Podado
497,-0.0179,Podado
498,-0.0179,Podado
499,-0.0126,Podado
500,-0.0460,Podado
501,-0.4428,Selecionado
502,-0.0179,Podado
